ID,Player Hands,Dealer Hand,Result
1,"Player 1: 7, J, Player 2: 2, A, Player 3: Q, 2, Player 4: 3, 9, Player 5: K, 6","Dealer's hand: 5, K, 10 | Total: 25","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
2,"Player 1: 4, 2, 2, 2, K, Player 2: Q, 9, Player 3: 8, 9, Player 4: 9, 5, Player 5: 2, 10","Dealer's hand: 5, Q, 10 | Total: 25","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
3,"Player 1: 5, 6, 7, Player 2: 10, 10, Player 3: K, A, Player 4: J, 4, Player 5: 2, 7, Q","Dealer's hand: 4, 5, 3, A, 9 | Total: 22","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
4,"Player 1: K, 2, 9, Player 2: Q, 3, A, 6, Player 3: 6, 5, 4, 10, Player 4: 6, 8, J, Player 5: 7, 2, 3, 10","Dealer's hand: J, Q | Total: 20","Player 1 wins!, Player 2 ties with the dealer., Player 3 loses., Player 4 loses., Player 5 loses."
5,"Player 1: 5, 6, K, Player 2: 3, 6, K, Player 3: Q, Q, Player 4: 7, 6, Player 5: 9, 10","Dealer's hand: 5, 7, 9 | Total: 21","Player 1 ties with the dealer., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
6,"Player 1: 3, 10, 9, Player 2: 2, J, 9, Player 3: 7, 8, 8, Player 4: 10, 5, 5, Player 5: 7, 4, K","Dealer's hand: J, 3, A, 4 | Total: 18","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 wins!"
7,"Player 1: Q, A, Player 2: 2, Q, 8, Player 3: 8, 7, 9, Player 4: 7, Q, Player 5: 2, Q, 9","Dealer's hand: J, 10 | Total: 20","Player 1 wins!, Player 2 ties with the dealer., Player 3 loses., Player 4 loses., Player 5 wins!"
8,"Player 1: 4, A, K, A, Q, Player 2: 2, 8, 5, 8, Player 3: 10, 7, Player 4: J, 5, 9, Player 5: A, 6","Dealer's hand: 2, 8, K | Total: 20","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
9,"Player 1: 10, 2, 4, Q, Player 2: A, J, Player 3: 7, 10, Player 4: 10, 5, Q, Player 5: A, 4, Q, Q","Dealer's hand: Q, 9 | Total: 19","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 loses., Player 5 loses."
10,"Player 1: 7, Q, Player 2: A, 9, Player 3: 5, 9, 3, Player 4: 10, 4, 9, Player 5: 3, 7, 6, 8","Dealer's hand: J, 6, 9 | Total: 25","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 loses."
11,"Player 1: 10, K, Player 2: 4, J, 3, Player 3: 6, 3, 2, 6, Player 4: Q, 5, Q, Player 5: J, J","Dealer's hand: K, 6, 10 | Total: 26","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 wins!"
